iter	Passed	Remaining
0	3	634
1	6	622
2	10	603
3	13	599
4	17	602
5	20	599
6	24	595
7	27	593
8	30	587
9	34	592
10	38	587
11	41	581
12	44	574
13	48	569
14	51	568
15	54	562
16	58	559
17	61	552
18	64	550
19	68	544
20	69	528
21	71	512
22	72	496
23	73	480
24	77	479
25	80	478
26	84	477
27	86	467
28	87	454
29	91	455
30	92	446
31	94	436
32	98	436
33	99	428
34	103	429
35	105	421
36	106	411
37	109	408
38	113	409
39	114	401
40	118	401
41	122	401
42	125	398
43	126	391
44	130	391
45	131	384
46	135	383
47	138	381
48	140	374
49	141	367
50	142	361
51	146	360
52	152	365
53	156	364
54	159	362
55	163	361
56	166	360
57	170	357
58	173	354
59	176	353
60	180	352
61	184	350
62	187	348
63	190	345
64	194	344
65	198	342
66	201	340
67	204	337
68	208	335
69	210	330
70	224	345
71	226	339
72	228	334
73	232	332
74	235	329
75	239	327
76	243	325
77	247	323
78	250	319
79	253	316
80	257	314
81	260	311
82	264	308
83	267	305
84	270	302
85	272	297
86	276	295
87	279	292
88	282	289
89	286	286
90	287	281
91	291	278
92	292	273
93	293	268
94	297	265
95	300	262
96	303	260
97	307	257
98	311	254
99	314	251
100	317	248
101	321	245
102	322	241
103	326	238
104	329	235
105	332	232
106	336	229
107	339	226
108	343	223
109	346	220
110	349	217
111	350	213
112	354	210
113	356	206
114	359	203
115	360	199
116	361	194
117	365	191
118	368	188
119	369	184
120	372	181
121	375	178
122	378	175
123	381	172
124	384	169
125	387	166
126	390	163
127	393	159
128	396	156
129	397	153
130	400	149
131	403	146
132	406	143
133	409	140
134	412	137
135	415	134
136	418	131
137	421	128
138	424	125
139	427	122
140	430	119
141	433	115
142	434	112
143	437	109
144	440	106
145	443	103
146	446	100
147	450	97
148	453	94
149	456	91
150	459	88
151	462	85
152	465	82
153	469	79
154	472	76
155	475	73
156	476	69
157	479	66
158	483	63
159	486	60
160	489	57
161	492	54
162	495	51
163	498	48
164	502	45
165	505	42
166	508	39
167	511	36
168	515	33
169	518	30
170	521	27
171	524	24
172	527	21
173	531	18
174	534	15
175	537	12
176	540	9
177	543	6
178	546	3
179	550	0
