iter	RMSE
0	0.9549692988
1	0.9096735928
2	0.867779638
3	0.828403834
4	0.7912193224
5	0.7566917674
6	0.7225113932
7	0.6901411667
8	0.659845897
9	0.6312570908
10	0.6034239173
11	0.5781790455
12	0.5538159866
13	0.5313827982
14	0.5093913335
15	0.4893341315
16	0.4693752651
17	0.4499202052
18	0.4320507268
19	0.4157962946
20	0.4008544894
21	0.3861063314
22	0.3727153939
23	0.3588561667
24	0.3462665917
25	0.3342609287
26	0.3228302335
27	0.3121990459
28	0.3034579608
29	0.2940930755
30	0.2849840931
31	0.2768233762
32	0.2687778522
33	0.2608185883
34	0.2528777018
35	0.2464027969
36	0.2401843952
37	0.234143641
38	0.2281384972
39	0.2223464531
40	0.2165044851
41	0.2110737645
42	0.2061176687
43	0.2014510699
44	0.1969585501
45	0.1924688005
46	0.1883065933
47	0.1841022117
48	0.1805970259
49	0.1769359208
50	0.1738667551
51	0.1707320818
52	0.1677299487
53	0.1649010027
54	0.1621326285
55	0.1594316061
56	0.1570233694
57	0.1543285143
58	0.1523389162
59	0.1502596451
60	0.1482519289
61	0.1465495566
62	0.1448996685
63	0.1431958962
64	0.1415766614
65	0.1398531931
66	0.1381693786
67	0.1362659527
68	0.1348593115
69	0.1336471403
70	0.1321236331
71	0.1306979405
72	0.1296538108
73	0.1284704002
74	0.1271401894
75	0.1260683894
76	0.1250981747
77	0.123826876
78	0.1229198362
79	0.1220773347
80	0.1213105639
81	0.1204769652
82	0.1193077414
83	0.1182959182
84	0.1175355314
85	0.1168287663
86	0.11620193
87	0.1155441304
88	0.1148059413
89	0.1142772007
90	0.1136728727
91	0.1130205267
92	0.1123954456
93	0.1118436722
94	0.111354626
95	0.1106475235
96	0.1099450956
97	0.1095405579
98	0.1087652743
99	0.108252841
100	0.1078791565
101	0.1074664008
102	0.1069863928
103	0.106605113
104	0.1063144113
105	0.1060515182
106	0.1054242262
107	0.1049475338
108	0.1046334047
109	0.1043802594
110	0.1040798736
111	0.1037763971
112	0.1035038912
113	0.1032352244
114	0.1029527082
115	0.1025705055
116	0.1022603908
117	0.1019130668
118	0.1017214818
119	0.1014980378
120	0.1012425498
121	0.1010251635
122	0.1008200624
123	0.1006152937
124	0.1004325791
125	0.1003007877
126	0.1000839212
127	0.09994870733
128	0.09977384696
129	0.09954993465
130	0.09938647137
131	0.09921804406
132	0.09909319258
133	0.09892121586
134	0.09870067239
135	0.09851672634
136	0.09827725434
137	0.09810778476
138	0.09801560676
139	0.09788200767
140	0.09774098142
141	0.09748521389
142	0.0972905836
143	0.09711722787
144	0.09694303405
145	0.09672003137
146	0.09659976417
147	0.09641197879
148	0.09628871687
149	0.09615556532
150	0.09606810657
151	0.09593835239
152	0.09581059677
153	0.09565939928
154	0.09547688992
155	0.09540466297
156	0.09531207264
157	0.09520497987
158	0.09506516873
159	0.09498660253
160	0.09488216066
161	0.09478455255
162	0.09470115685
163	0.09457295641
164	0.09443741244
165	0.09424974372
166	0.09407340771
167	0.09399071133
168	0.09387305538
169	0.09378274937
170	0.09368897828
171	0.09360874671
172	0.09349297254
173	0.093392332
174	0.09328740994
175	0.09315145371
176	0.09304756792
177	0.09296979861
178	0.09292429619
179	0.09287553763
180	0.09280591612
181	0.09269167969
182	0.09261971786
183	0.09248433159
184	0.09237294031
185	0.09231105508
186	0.09223512527
187	0.09217517662
188	0.0920849944
189	0.09200463335
190	0.09194110514
191	0.09182820297
192	0.09177129573
193	0.09169960882
194	0.09161708112
195	0.09153596569
196	0.09145414308
197	0.09140945234
198	0.09130715937
199	0.09122800194
200	0.0911810817
201	0.09110901663
202	0.0910017512
203	0.09087380058
204	0.0908251913
205	0.09073240796
206	0.09066328888
207	0.09057420971
208	0.09050932574
209	0.09043676743
210	0.09035656444
211	0.09027508019
212	0.09020152639
213	0.09013890204
214	0.09010005073
215	0.09003815128
216	0.09000829207
217	0.08990168108
218	0.08983271638
219	0.08979625428
220	0.08975231318
221	0.08966191464
222	0.08958719319
223	0.08951607503
224	0.08947598878
225	0.08944206589
226	0.08938758095
227	0.08931890942
228	0.08927146077
229	0.08922062687
230	0.08913623432
231	0.08905754435
232	0.08900422966
233	0.08896709341
234	0.08893825433
235	0.08889851536
236	0.08883114657
237	0.08878058725
238	0.0887225521
239	0.0886551777
240	0.08862351433
241	0.08857304168
242	0.08853235567
243	0.08850495371
244	0.08844247313
245	0.08836940047
246	0.08832445292
247	0.08829644628
248	0.08827787316
249	0.08822974879
250	0.08819723416
251	0.08817016916
252	0.08814044999
253	0.08811210657
254	0.08807740203
255	0.08805355148
256	0.08800390069
257	0.08793646155
258	0.08791782908
259	0.08790089995
260	0.08784804487
261	0.08781701739
262	0.08779483054
263	0.08776867707
264	0.08771927504
265	0.08765690986
266	0.08759768085
267	0.08756696021
268	0.08753330634
269	0.08746864579
270	0.0874013136
271	0.08736032219
272	0.08733977516
273	0.08726968226
274	0.08722216781
275	0.08718966446
276	0.08715555484
277	0.0871088688
278	0.08707327329
279	0.08703311734
280	0.08699255547
281	0.08692482263
282	0.08687940459
283	0.08679270367
284	0.08673777405
285	0.08669823005
286	0.08664369236
287	0.08660414257
288	0.08655221543
289	0.08652560513
290	0.08648849341
291	0.08644574865
292	0.08641093996
293	0.08637871022
294	0.0863658149
295	0.08633301904
296	0.08628233832
297	0.08622102098
298	0.08619680998
299	0.08616710043
300	0.08614173129
301	0.08611027112
302	0.08608136143
303	0.08606555061
304	0.08602164348
305	0.08598105603
306	0.08595720327
307	0.08591413242
308	0.0858792967
309	0.08584150904
310	0.08580128183
311	0.08577702503
312	0.08575203501
313	0.0857186874
314	0.08569609855
315	0.08564205453
316	0.08561127533
317	0.08559080758
318	0.08555393075
319	0.08554092717
320	0.08550507971
321	0.08547284158
322	0.08543073122
323	0.08540240236
324	0.08538354286
325	0.08537183664
326	0.08533758281
327	0.0852778843
328	0.08526878026
329	0.08525837313
330	0.08519827241
331	0.08517697084
332	0.08513197092
333	0.08507732805
334	0.08505799788
335	0.08501532092
336	0.08498975349
337	0.08494250145
338	0.08491024965
339	0.08488428218
340	0.08483845579
341	0.08480976628
342	0.08479046953
343	0.08474001819
344	0.08470805032
345	0.08466566109
