iter	Passed	Remaining
0	6	6204
1	11	5859
2	17	5875
3	22	5604
4	28	5576
5	35	5836
6	40	5809
7	46	5762
8	53	5931
9	59	5904
10	64	5820
11	69	5756
12	75	5727
13	80	5689
14	86	5656
15	91	5642
16	97	5611
17	102	5593
18	107	5563
19	113	5539
20	118	5540
21	123	5510
22	128	5474
23	134	5456
24	139	5455
25	145	5450
26	152	5490
27	158	5515
28	164	5508
29	170	5503
30	175	5484
31	180	5468
32	186	5458
33	191	5449
34	197	5439
35	202	5417
36	207	5398
37	212	5387
38	218	5376
39	223	5365
40	228	5354
41	234	5338
42	239	5328
43	245	5343
44	251	5334
45	257	5331
46	262	5323
47	267	5313
48	273	5300
49	278	5288
50	283	5282
51	289	5268
52	294	5260
53	299	5251
54	305	5248
55	311	5244
56	324	5364
57	334	5430
58	339	5415
59	344	5391
60	349	5379
61	355	5372
62	361	5373
63	367	5369
64	373	5370
65	379	5368
66	385	5366
67	392	5377
68	397	5364
69	403	5363
70	409	5363
71	415	5356
72	419	5327
73	423	5293
74	426	5265
75	431	5243
76	439	5265
77	446	5279
78	451	5259
79	457	5256
80	463	5255
81	469	5255
82	475	5251
83	481	5250
84	489	5271
85	496	5276
86	503	5279
87	509	5279
88	514	5270
89	521	5268
90	526	5261
91	532	5257
92	537	5246
93	543	5241
94	549	5233
95	554	5217
96	560	5213
97	564	5200
98	570	5189
99	577	5198
100	582	5187
101	588	5178
102	593	5171
103	599	5163
104	604	5153
105	610	5144
106	615	5136
107	621	5130
108	626	5118
109	631	5109
110	636	5101
111	642	5091
112	647	5082
113	652	5075
114	658	5067
115	663	5055
116	668	5048
117	674	5041
118	679	5030
119	686	5036
120	693	5037
121	698	5027
122	704	5020
123	709	5009
124	714	5003
125	720	4994
126	725	4988
127	731	4982
128	737	4977
129	742	4969
130	747	4961
131	753	4954
132	759	4947
133	764	4940
134	771	4942
135	776	4930
136	781	4925
137	787	4918
138	792	4910
139	798	4902
140	803	4897
141	809	4892
142	815	4885
143	820	4879
144	826	4873
145	832	4870
146	838	4863
147	843	4856
148	849	4853
149	855	4845
150	860	4835
151	866	4835
152	875	4845
153	880	4837
154	889	4848
155	895	4846
156	902	4843
157	906	4830
158	909	4813
159	915	4804
160	920	4795
161	924	4783
162	929	4774
163	935	4770
164	943	4772
165	949	4770
166	954	4760
167	958	4749
168	964	4741
169	969	4731
170	974	4722
171	978	4710
172	982	4697
173	988	4692
174	992	4680
175	997	4670
176	1002	4662
177	1008	4656
178	1013	4649
179	1017	4634
180	1021	4624
181	1026	4615
182	1032	4609
183	1040	4615
184	1046	4611
185	1052	4605
186	1058	4601
187	1064	4596
188	1068	4585
189	1074	4580
190	1079	4573
191	1084	4564
192	1089	4556
193	1094	4546
194	1099	4537
195	1104	4530
196	1109	4521
197	1114	4514
198	1119	4506
199	1124	4496
200	1128	4485
201	1133	4478
202	1139	4473
203	1145	4470
204	1151	4465
205	1156	4457
206	1162	4455
207	1169	4452
208	1182	4477
209	1191	4482
210	1198	4482
211	1203	4475
212	1209	4468
213	1214	4460
214	1219	4454
215	1225	4447
216	1230	4441
217	1235	4431
218	1240	4425
219	1245	4417
220	1250	4408
221	1256	4401
222	1261	4394
223	1266	4388
224	1272	4381
225	1277	4374
226	1282	4368
227	1288	4361
228	1293	4354
229	1299	4349
230	1304	4343
231	1309	4334
232	1314	4328
233	1319	4320
234	1325	4313
235	1330	4306
236	1335	4298
237	1340	4293
238	1346	4286
239	1351	4279
240	1356	4270
241	1361	4264
242	1367	4258
243	1372	4251
244	1376	4241
245	1387	4253
246	1395	4253
247	1400	4248
248	1406	4241
249	1415	4247
250	1421	4240
251	1426	4235
252	1432	4228
253	1438	4224
254	1446	4225
255	1451	4218
256	1456	4211
257	1462	4206
258	1468	4200
259	1473	4192
260	1478	4186
261	1484	4180
262	1489	4173
263	1494	4166
264	1499	4159
265	1504	4152
266	1510	4147
267	1515	4140
268	1522	4137
269	1529	4135
270	1534	4129
271	1540	4121
272	1545	4114
273	1550	4109
274	1556	4103
275	1562	4097
276	1567	4091
277	1572	4084
278	1577	4077
279	1582	4070
280	1588	4064
281	1593	4058
282	1599	4053
283	1605	4048
284	1611	4041
285	1616	4036
286	1624	4034
287	1629	4028
288	1635	4022
289	1640	4016
290	1645	4009
291	1651	4003
292	1656	3997
293	1662	3991
294	1667	3985
295	1673	3980
296	1679	3974
297	1684	3968
298	1689	3960
299	1695	3956
300	1701	3950
301	1706	3945
302	1712	3938
303	1717	3932
304	1724	3928
305	1730	3924
306	1735	3918
307	1741	3912
308	1747	3907
309	1752	3900
310	1757	3893
311	1762	3887
312	1768	3881
313	1773	3874
314	1779	3868
315	1784	3861
316	1789	3855
317	1794	3849
318	1800	3843
319	1805	3837
320	1816	3842
321	1822	3838
322	1828	3832
323	1842	3844
324	1847	3838
325	1853	3831
326	1858	3825
327	1863	3818
328	1868	3811
329	1874	3805
330	1880	3800
331	1886	3795
332	1891	3788
333	1897	3783
334	1902	3777
335	1908	3772
336	1913	3765
337	1919	3759
338	1924	3753
339	1930	3746
340	1935	3740
341	1940	3734
342	1946	3727
343	1955	3728
344	1964	3730
345	1970	3724
346	1979	3725
347	1985	3720
348	1991	3715
349	1997	3709
350	2004	3705
351	2008	3697
352	2015	3694
353	2020	3687
354	2025	3679
355	2030	3673
356	2034	3664
357	2040	3659
358	2046	3654
359	2051	3647
360	2057	3641
361	2061	3633
362	2066	3625
363	2071	3618
364	2074	3609
365	2078	3600
366	2082	3591
367	2085	3581
368	2090	3574
369	2095	3568
370	2099	3560
371	2103	3551
372	2108	3544
373	2113	3538
374	2117	3529
375	2123	3524
376	2127	3516
377	2132	3509
378	2136	3500
379	2140	3492
380	2146	3486
381	2151	3480
