iter	Passed	Remaining
0	3	659
1	7	688
2	12	740
3	22	985
4	27	951
5	30	881
6	33	823
7	36	782
8	40	763
9	44	748
10	49	757
11	54	768
12	57	744
13	61	724
14	64	705
15	67	689
16	70	678
17	75	678
18	78	664
19	82	656
20	86	652
21	89	644
22	93	635
23	96	629
24	99	619
25	103	611
26	106	604
27	110	599
28	113	592
29	117	585
30	121	583
31	124	577
32	129	577
33	133	574
34	137	568
35	138	554
36	139	539
37	140	525
38	141	513
39	143	500
40	144	488
41	145	476
42	146	466
43	147	455
44	148	444
45	149	435
46	150	425
47	151	416
48	152	407
49	153	398
50	155	393
51	156	385
52	158	380
53	160	373
54	162	368
55	163	362
56	165	356
57	166	350
58	167	344
59	168	337
60	169	331
61	170	324
62	172	319
63	173	314
64	174	308
65	175	303
66	176	297
67	177	292
68	178	287
69	179	282
70	181	278
71	182	273
72	184	270
73	185	265
74	187	262
75	188	257
76	190	254
77	191	250
78	192	245
79	193	242
80	194	238
81	196	234
82	197	231
83	199	227
84	201	225
85	202	221
86	204	218
87	205	215
88	207	211
89	208	208
90	209	204
91	210	201
92	211	197
93	212	194
94	213	191
95	214	187
96	215	184
97	216	181
98	218	178
99	219	175
100	220	172
101	222	169
102	223	166
103	224	164
104	225	161
105	226	158
106	230	156
107	233	155
108	236	154
109	239	152
110	243	151
111	247	150
112	250	148
113	253	147
114	257	145
115	259	142
116	260	140
117	261	137
118	262	134
119	263	131
120	264	128
121	265	126
122	266	123
123	267	120
124	268	118
125	269	115
126	270	113
127	271	110
128	273	108
129	274	105
130	275	102
131	276	100
132	277	98
133	278	95
134	279	93
135	280	90
136	281137	137	282138	289	85
139	290	82
140	291	80
141	292	78
142	293	75
143	143	290144	144	291145	145	292146	146	293147	147	294	63
148	295	61
149	297	59
150	298	57
151	299	55
152	300	52
153	301	50
154	302	48
155	304	46
156	307	45
157	310	43
158	312	41
159	313	39
160	315	37
161	316	35
162	317	33
163	321	31
164	324	29
165	327	27
166	328	25
167	330	23
168	333	21
169	335	19
170	336	17
171	337	15
172	338	13
173	339	11
174	340	9
175	341	7
176	343	5
177	344	3
178	34179	179	346	0
2
175	433	9
176	436	7
177	440	4
178	441	2
179	442	0
