iter	RMSE
0	7539.649337
1	6143.877586
2	5099.70504833	4466.706329
4	4104.833006
5	3833.15049
6	3549.659967
7	3209.344294
8	3082.338579
9	2931.778183
10	2854.363328
11	2785.43976
12	2725.350527
13	2627.200657
14	2549.854568
15	2507.581713
16	2417.529534
17	2279.117263
18	2212.236493
19	2156.105255
20	2107.468795
21	2065.544606
22	2028.020771
23	1936.488923
24	1884.497169
25	1852.739589
26	1812.313551
27	1787.669875
28	1755.955708
29	1737.057976
30	1717.597568
31	1700.740592
32	1669.924268
33	1650.963138
34	1612.351755
35	1610.606567
36	1608.942835
37	1607.334131
38	1605.769791
39	1604.24638
40	1602.761325
41	1601.313273
42	1599.901179
43	1598.524126
44	1597.181249
45	1595.871722
46	1594.594738
47	1593.349512
48	1592.135277
49	1590.951284
50	1589.7968
51	1588.67111
52	1587.573337
53	1586.503154
54	1585.459715
55	1584.44237
56	1583.45048
57	1582.483424
58	1581.540595
59	1580.621399
60	1579.725256
61	1578.851601
62	1577.999882
63	1577.169558
64	1576.360103
65	1575.571002
66	1574.801754
67	1574.051867
68	1573.320864
69	1572.608277
70	1571.91365
71	1571.236537
72	1570.576505
73	1569.93313
74	1569.305996
75	1568.694701
76	1568.098784
77	1567.517994
78	1566.951887
79	1566.400099
80	1565.862272
81	1565.338056
82	1564.827088
83	1564.329085
84	1563.843698
85	1563.370611
86	1562.909517
87	1562.460114
88	1562.022109
89	1561.595217
90	1561.179157
91	1560.773659
92	1560.378457
93	1559.993291
94	1559.617909
95	1559.252065
96	1558.895519
97	1558.548036
98	1558.209388
99	1557.879352
100	1557.557711
101	1557.244244
102	1556.938762
103	1556.641056
104	1556.350927
105	1556.068186
106	1531.049426
107	1508.772224
108	1485.40463
109	1469.181548
110	1457.636301
111	1445.412238
112	1424.980847
113	1409.1963
114	1389.941047
115	1389.64404
116	1389.354745
117	1389.072867
118	1388.798182
119	1388.530496
120	1388.269627
121	1388.0154
122	1387.767646
123	1387.526203
124	1387.29091
125	1387.061612
126	1386.838156
127	1386.620396
128	1386.408185
129	1386.201385
130	1385.999857
131	1385.803468
132	1385.612087
133	1385.425589
134	1385.241632
135	1385.064528
136	1384.8919137137	1384.7237138	1298.24918
139	1298.098748
140	1297.953539
141	1297.812541
142	1297.675328
143143	1375.3334144144	1375.1921145145	1375.0544146146	1374.920314147	1374.789724
148	1374.662411
149	1374.538352
150	1374.417465
151	1374.299666
152	1374.184879
153	1374.073025
154	1373.96403
155	1373.857822
156	1357.539387
157	1348.869629
158	1348.772395
159	1348.677836
160	1348.585763
161	1348.496071
162	1348.408681
163	1341.811305
164	1329.094659
165	1323.028883
166	1322.947395
167	1313.655409
168	1303.703499
169	1303.622481
170	1303.543628
171	1303.466825
172	1303.391999
173	1303.319093
174	1303.248053
175	1303.178831
176	1303.111381
177	1303.045658
178	1302.9816179179	1302.919213
