iter	RMSE
0	11820.72278
1	11490.67789
2	11171.38965
3	10872.58657
4	10585.05148
5	10303.66834
6	10048.72367
7	9794.800201
8	9538.96025
9	9290.153148
10	9044.170231
11	8837.142572
12	8640.787862
13	8424.007483
14	8237.597043
15	8060.302242
16	7886.576727
17	7724.742468
18	7566.236594
19	7423.132316
20	7277.102773
21	7133.777655
22	6991.145055
23	6851.642573
24	6724.197512
25	6616.025925
26	6509.191839
27	6406.212448
28	6299.62372
29	6209.687363
30	6122.684622
31	6036.507484
32	5958.079214
33	5878.944435
34	5796.320493
35	5721.231594
36	5648.658621
37	5595.39941
38	5533.607937
39	5470.521006
40	5417.684343
41	5364.575098
42	5308.413218
43	5264.215683
44	5215.877456
45	5164.85385
46	5117.476545
47	5075.665073
48	5037.381186
49	4996.787939
50	4960.109801
51	4923.588288
52	4896.987417
53	4866.05666
54	4848.204668
55	4819.757024
56	4789.941515
57	4763.724913
58	4736.786539
59	4717.872506
60	4695.545304
61	4673.207919
62	4651.899664
63	4629.161993
64	4609.99512
65	4589.50587
66	4572.785028
67	4557.5323
68	4543.967319
69	4527.923231
70	4510.371316
71	4495.904088
72	4484.503684
73	4476.086747
74	4462.14044
75	4449.088659
76	4436.678819
77	4425.48984
78	4416.221005
79	4405.014038
80	4394.278782
81	4382.11106
82	4373.490015
83	4363.122295
84	4350.180038
85	4339.681159
86	4336.610224
87	4322.284497
88	4310.980542
89	4301.46581
90	4293.757463
91	4282.220118
92	4273.270656
93	4262.28437
94	4252.898943
95	4245.915074
96	4242.806671
97	4235.086898
98	4227.965317
99	4221.941453
100	4215.346659
101	4208.623291
102	4205.667868
103	4199.053158
104	4194.615988
105	4189.803712
106	4184.39914
107	4177.966465
108	4171.131965
109	4165.411943
110	4159.091231
111	4152.582089
112	4146.066302
113	4139.916391
114	4132.282081
115	4127.764521
116	4122.726427
117	4117.062637
118	4115.469756
119	4110.217506
120	4105.701124
121	4101.840278
122	4094.931555
123	4091.231612
124	4086.195813
125	4080.928386
126	4077.515226
127	4068.97869
128	4067.483031
129	4064.248615
130	4060.686524
131	4055.220911
132	4052.429337
133	4050.235264
134	4045.905352
135	4040.555798
136	4038.092102
137	4035.875557
138	4030.816605
139	4024.663203
140	4021.239228
141	4014.272041
142	4013.130295
143	4009.85002
144	4006.876304
145	4003.452133
146	3998.732212
147	3992.655662
148	3986.882687
149	3979.789201
150	3973.179863
151	3972.120459
152	3969.476366
153	3966.43236
154	3959.256061
155	3955.090726
156	3950.206742
157	3941.4778
158	3938.094529
159	3935.082572
160	3932.561011
161	3929.786724
162	3927.736519
163	3923.561384
164	3920.313844
165	3914.587738
166	3910.469408
167	3907.526127
168	3905.01183
169	3899.844305
170	3897.656987
171	3893.040634
172	3889.460033
173	3882.794365
174	3879.131681
175	3874.702253
176	3868.905409
177	3865.787876
178	3861.658413
179	3858.230961
180	3853.188952
181	3849.026591
182	3839.015806
183	3833.784085
184	3829.297999
185	3826.646465
186	3822.285539
187	3817.303701
188	3812.92237
189	3809.445267
190	3804.978978
191	3802.932645
192	3800.112097
193	3798.283067
194	3795.848618
195	3792.352148
196	3788.849843
197	3785.81733
198	3781.093725
199	3777.011452
200	3773.943641
201	3768.741435
202	3765.275454
203	3761.84091
204	3757.216687
205	3754.570245
206	3752.581141
207	3748.927267
208	3744.454463
209	3737.701661
210	3735.604054
211	3732.637351
212	3729.071353
213	3725.499167
214	3720.769779
215	3715.637853
216	3712.445125
217	3706.215262
218	3703.955935
219	3698.932955
220	3695.959879
221	3693.105071
222	3688.56877
223	3684.413963
224	3678.954443
225	3674.837784
226	3668.989339
227	3664.962983
228	3659.759188
229	3656.435636
230	3654.483727
231	3651.215425
232	3646.854035
233	3643.972796
234	3641.062091
235	3637.978218
236	3636.224402
237	3632.166205
238	3628.831974
239	3626.011993
240	3624.103061
241	3620.881022
242	3618.682363
243	3616.76145
244	3613.093284
245	3609.877506
246	3606.853801
247	3604.229019
248	3601.394787
249	3599.630095
250	3597.702697
251	3594.897082
252	3592.079098
253	3590.17963
254	3588.215947
255	3585.511107
256	3583.804422
257	3582.596444
258	3578.895923
259	3574.536536
260	3572.981674
261	3569.742117
262	3567.137703
263	3564.982281
264	3563.058348
265	3561.245908
266	3557.286974
267	3552.27446
268	3549.733821
269	3545.830002
270	3541.061326
271	3537.132681
272	3534.972083
273	3531.233158
274	3527.768473
275	3524.897576
276	3521.465173
277	3519.226225
278	3513.253769
279	3511.683822
280	3510.165552
281	3508.697781
282	3507.03021
283	3500.885702
284	3496.627119
285	3491.037475
286	3488.691143
287	3486.009994
288	3480.437009
289	3478.047654
290	3476.349062
291	3475.288029
292	3473.474486
293	3471.221306
294	3468.414148
295	3466.294193
296	3461.415743
297	3458.988024
298	3457.043344
299	3453.131149
300	3449.399185
301	3444.151364
302	3442.268109
303	3437.703699
304	3435.970072
305	3432.435008
306	3430.726795
307	3428.993452
308	3427.373376
309	3424.773412
310	3422.880633
311	3421.315485
312	3419.016438
313	3415.067953
314	3410.893827
315	3406.931948
316	3402.884799
317	3401.323034
318	3398.366839
319	3397.060034
320	3393.864739
321	3392.581074
322	3388.496437
323	3385.101631
324	3383.634855
325	3382.835238
326	3379.430234
327	3377.628316
328	3376.849716
329	3375.922141
330	3372.29117
331	3369.814808
332	3366.245233
333	3364.010961
334	3362.094116
335	3360.705447
336	3358.639363
337	3355.237453
338	3353.941896
339	3352.464787
340	3349.196444
341	3347.079293
342	3344.574009
343	3341.434658
344	3339.741586
345	3338.331041
346	3336.203063
347	3334.881065
348	3333.577736
349	3332.729605
350	3331.349653
351	3330.153699
352	3327.910577
353	3326.595335
354	3323.534896
355	3321.155735
356	3319.74729
357	3316.500155
358	3314.345752
359	3311.45018
360	3308.679828
361	3305.796059
362	3301.859985
363	3300.407274
364	3297.27864
365	3294.701884
366	3293.179554
367	3290.608628
368	3288.160811
369	3287.33756
370	3285.833332
371	3284.289531
372	3282.848508
373	3280.448679
374	3278.747049
375	3275.659653
376	3273.281164
377	3270.884032
378	3269.425041
379	3266.292857
380	3264.176374
381	3262.496067
382	3260.949147
383	3256.692558
384	3252.737521
385	3251.273715
386	3250.053676
387	3246.857713
388	3243.313359
389	3241.970452
390	3240.298315
391	3237.68923
392	3233.841484
393	3229.435112
394	3227.569548
395	3226.031272
396	3223.120582
397	3222.079636
398	3219.299276
399	3215.634608
400	3212.899948
401	3211.026071
402	3208.793045
403	3206.526587
404	3205.085153
405	3202.229716
406	3200.171293
407	3197.260842
408	3194.698517
409	3192.312772
410	3190.677315
411	3189.532376
412	3184.912978
413	3183.186578
414	3179.032213
415	3174.746142
416	3173.500374
417	3169.965641
418	3165.618746
419	3164.299319
420	3162.387653
421	3160.423543
422	3158.559075
423	3157.395739
424	3154.955817
425	3153.111322
426	3151.560051
427	3149.697835
428	3147.642969
429	3145.247154
430	3143.917538
431	3140.780658
432	3140.036655
433	3137.368599
434	3135.820573
435	3133.904839
436	3131.809388
437	3129.562722
438	3125.869231
439	3124.046484
440	3120.912251
441	3120.307351
442	3117.8486
443	3114.352578
444	3111.986173
445	3108.678461
446	3107.549272
447	3103.410408
448	3100.882487
449	3098.609875
450	3096.006535
451	3092.843001
452	3091.98732
453	3089.811797
454	3086.036637
455	3082.098243
456	3080.975558
457	3079.94531
458	3079.352653
459	3077.980001
460	3075.898758
461	3073.931604
462	3072.465432
463	3071.360015
464	3069.900687
465	3066.075489
466	3064.310405
467	3061.197087
468	3058.83673
469	3057.527429
470	3055.708033
471	3054.124982
472	3052.691143
473	3051.275348
474	3049.592199
475	3047.187446
476	3045.668702
477	3043.782765
478	3042.747364
479	3041.305759
480	3039.0713
481	3037.994181
482	3034.980906
483	3032.588537
484	3031.298518
485	3029.61579
486	3028.036892
487	3026.736767
488	3024.56407
489	3023.447633
490	3022.214896
491	3021.527428
492	3020.469425
493	3018.382851
494	3017.426704
495	3016.401895
496	3014.876124
497	3013.394193
498	3009.659424
499	3008.622081
500	3006.221616
501	3002.811673
502	2999.86991
503	2998.14288
504	2994.596191
505	2991.758899
506	2990.734795
507	2989.387565
508	2988.350894
509	2986.968963
510	2985.735681
511	2984.334196
512	2982.982614
513	2980.986243
514	2979.682033
515	2976.551187
516	2974.884419
517	2973.095892
518	2971.198901
519	2970.202615
520	2965.429641
521	2964.446543
522	2962.280739
523	2960.847953
524	2960.288479
525	2958.981129
526	2954.420876
527	2953.034521
528	2950.422862
529	2947.542476
530	2946.094757
531	2943.025103
532	2941.01585
533	2939.061078
534	2938.072314
535	2937.156693
536	2935.221717
537	2934.098915
538	2933.510193
539	2931.799592
540	2930.400811
541	2929.302543
542	2928.155665
543	2924.00711
544	2923.323837
545	2918.87093
546	2917.682435
547	2917.00996
548	2915.768154
549	2914.939104
550	2914.281607
551	2913.141407
552	2908.667112
553	2905.412399
554	2904.403293
555	2903.456762
556	2902.926108
557	2901.976232
558	2901.049449
559	2896.748533
560	2895.715218
561	2894.79107
562	2893.287017
563	2892.387759
564	2890.671556
565	2887.37945
566	2885.867911
567	2884.593802
568	2880.624257
569	2879.915663
570	2876.974238
571	2875.654379
572	2872.58713
573	2871.257419
574	2869.574836
575	2868.881015
576	2866.303449
577	2865.808424
578	2864.703804
579	2863.347957
580	2862.903173
581	2859.987872
582	2857.095285
583	2856.074998
584	2853.182333
585	2851.639077
586	2850.61298
587	2847.850029
588	2844.710525
589	2843.523853
590	2840.731061
591	2839.968688
592	2836.995169
593	2836.093013
594	2834.726012
595	2832.359682
596	2829.555383
597	2828.340122
598	2825.879448
599	2824.981805
600	2823.712515
601	2822.156386
602	2821.258152
603	2819.139434
604	2816.841918
605	2815.630506
606	2814.482771
607	2812.10317
608	2810.954404
609	2810.117567
610	2809.236085
611	2806.886339
612	2806.405939
613	2805.542602
614	2801.866585
615	2798.106281
616	2796.473432
617	2796.023798
618	2793.508655
619	2792.809899
620	2791.961869
621	2790.616615
622	2789.446762
623	2788.146814
624	2786.460129
625	2784.974539
626	2782.365719
627	2780.952798
628	2779.010402
629	2777.756433
630	2775.766063
631	2775.465397
632	2774.045595
633	2772.861233
634	2769.525911
635	2766.750313
636	2764.018959
637	2762.270139
638	2760.723074
639	2756.904678
640	2755.603426
641	2754.194004
642	2750.973108
643	2750.034058
644	2747.251383
645	2745.481493
646	2744.21435
647	2743.098594
648	2739.820455
649	2738.427912
650	2736.031032
651	2733.387423
652	2731.650691
653	2729.055758
654	2728.219381
655	2727.155569
656	2725.776697
657	2724.80239
658	2722.29124
659	2720.366765
660	2719.213598
661	2718.358957
662	2716.784669
663	2715.971714
664	2713.400989
665	2712.704172
666	2711.21509
667	2708.020157
668	2704.697894
669	2704.078507
670	2700.822297
671	2698.400749
672	2696.72968
673	2695.588123
674	2694.568792
675	2690.951831
676	2688.913822
677	2687.566897
678	2686.28868
679	2685.499967
680	2683.750417
681	2681.957227
682	2680.624037
683	2679.902488
684	2678.687228
685	2677.786176
686	2676.629202
687	2675.34028
688	2674.112947
689	2670.622065
690	2668.599956
691	2667.519477
692	2666.08776
693	2665.041553
694	2661.663438
695	2659.580967
696	2656.487643
697	2656.231387
698	2655.583129
699	2653.207938
700	2651.953453
701	2651.514435
702	2648.901488
703	2646.831085
704	2645.327177
705	2644.334793
706	2643.322963
707	2641.674068
708	2639.998536
709	2637.569627
710	2635.568605
711	2634.386107
712	2633.780237
713	2632.668662
714	2632.230901
715	2631.810109
716	2629.939693
717	2629.560197
718	2627.232113
719	2626.4124
720	2625.702075
721	2624.794766
722	2623.617345
723	2622.684283
724	2620.514814
725	2617.683574
726	2616.306789
727	2615.140135
728	2613.293621
729	2612.179542
730	2609.037177
731	2608.462033
732	2607.900388
733	2605.138935
734	2604.54933
735	2600.689808
736	2599.494456
737	2598.082332
738	2595.574455
739	2594.479799
740	2593.26221
741	2591.459062
742	2590.513543
743	2589.122071
744	2587.892473
745	2586.398804
746	2585.900396
747	2584.410356
748	2582.657825
749	2580.448179
750	2579.515936
751	2578.741885
752	2576.528985
753	2575.718546
754	2574.70111
755	2573.747522
756	2572.303453
757	2571.118615
758	2569.615485
759	2569.1904
760	2566.366915
761	2563.38245
762	2561.914981
763	2561.172687
764	2560.139968
765	2558.379901
766	2557.528126
767	2556.56842
768	2554.593173
769	2553.484239
770	2552.799028
771	2552.014906
772	2551.341996
773	2550.940663
774	2547.472647
775	2545.369709
776	2544.632322
777	2543.533847
778	2543.151405
779	2542.388177
780	2541.516076
781	2539.596886
782	2538.639128
783	2536.777852
784	2534.97263
785	2534.603004
786	2532.851685
787	2532.079405
788	2530.67222
789	2529.77037
790	2529.06204
791	2527.429712
792	2526.542241
793	2525.265858
794	2523.797525
795	2521.8143
796	2520.27574
797	2518.63968
798	2517.572932
799	2516.461928
800	2516.108708
801	2515.063702
802	2514.653436
803	2512.715177
804	2511.345822
805	2509.635604
806	2508.616994
807	2507.780879
808	2506.825414
809	2506.087264
810	2505.187678
811	2504.080054
812	2503.003002
813	2502.221884
814	2500.455446
815	2499.295673
816	2496.239847
817	2495.855609
818	2495.525717
819	2494.231817
820	2492.202004
821	2491.690629
822	2488.846877
823	2487.8224
824	2485.970837
825	2485.414142
826	2484.460974
827	2481.390845
828	2480.072309
829	2479.7552
830	2478.664616
831	2478.286805
832	2478.090445
833	2477.012879
834	2475.92388
835	2475.275248
836	2473.610373
837	2473.142124
838	2472.541601
839	2471.250729
840	2467.41625
841	2466.222598
842	2465.563524
843	2464.220027
844	2463.455184
845	2462.851464
846	2461.872856
847	2459.470595
848	2458.820472
849	2458.102424
850	2457.263833
851	2456.315372
852	2455.546188
853	2454.011498
854	2453.70274
855	2452.722157
856	2452.294401
857	2451.165938
858	2450.727333
859	2448.753757
860	2447.648038
861	2447.250194
862	2445.616623
863	2443.963179
864	2442.980935
865	2442.127948
866	2441.231441
867	2440.742355
868	2440.073964
869	2439.275389
870	2437.791782
871	2437.049844
872	2436.426428
873	2435.550198
874	2434.478723
875	2433.49076
876	2432.571526
877	2431.335496
878	2429.732857
879	2428.016729
880	2427.013477
881	2425.511909
882	2423.327332
883	2422.954209
884	2420.266117
885	2418.005
886	2417.051142
887	2416.049308
888	2415.11742
889	2413.832135
890	2413.325988
891	2411.786023
892	2411.126417
893	2409.251718
894	2408.450092
895	2407.796728
896	2406.708588
897	2403.791255
898	2402.803525
899	2401.98689
900	2401.284253
901	2400.319151
902	2399.38494
903	2399.083002
904	2397.993134
905	2395.170389
906	2393.723108
907	2391.343762
908	2390.380285
909	2389.752755
910	2389.505719
911	2388.104953
912	2387.866749
913	2386.45238
914	2384.993417
915	2384.377323
916	2383.456834
917	2382.589859
918	2381.205743
919	2379.202425
920	2376.593493
921	2375.756487
922	2375.367694
923	2374.543602
924	2373.597225
925	2372.055884
926	2371.604574
927	2371.204194
928	2370.634799
929	2369.726756
930	2369.333644
931	2367.846699
932	2367.005383
933	2366.004978
934	2364.648802
935	2363.950643
936	2362.910665
937	2362.350545
938	2360.518435
