iter	Passed	Remaining
0	3	3770
1	4	2420
2	6	2309
3	8	2220
4	10	1994
5	12	2030
6	14	2082
7	17	2116
8	22	2473
9	24	2445
10	64	5833
11	135	11156
12	137	10453
13	139	9802
14	141	9273
15	143	8803
16	145	8390
17	147	8038
18	149	7726
19	151	7410
20	153	7148
21	155	6913
22	157	6685
23	159	6482
24	161	6296
25	163	6128
26	186	6732
27	188	6551
28	190	6388
29	194	6291
30	200	6266
31	213	6454
32	231	6772
33	241	6870
34	243	6724
35	246	6587
36	251	6555
37	254	6443
38	268	6608
39	274	6580
40	302	7064
41	332	7588
42	346	7719
43	361	7858
44	363	7717
45	366	7606
46	369	7493
47	390	7746
48	398	7734
49	407	7743
50	412	7673
51	416	7586
52	417	7461
53	420	7374
54	421	7248
55	431	7279
56	435	7204
57	437	7109
58	440	7018
59	507	7952
60	518	7976
61	520	7869
62	522	7775
63	526	7695
64	528	7602
65	561	7947
66	566	7887
67	575	7892
68	578	7800
69	580	7708
70	582	7618
71	584	7532
72	586	7453
73	588	7366
74	592	7312
75	595	7238
76	597	7162
77	599	7090
78	602	7023
79	655	7532
80	656	7452
81	658	7374
82	660	7297
83	662	7225
84	666	7174
85	669	7110
86	697	7319
87	699	7253
88	702	7186
89	721	7295
90	736	7352
91	738	7284
92	753	7348
93	762	7352
94	765	7288
95	767	7223
96	774	7206
97	776	7144
98	778	7082
99	782	7038
100	802	7140
101	804	7081
102	805	7013
103	807	6954
104	809	6896
105	811	6839
106	827	6905
107	829	6851
108	831	6799
109	833	6747
110	836	6696
111	838	6649
112	840	6598
113	842	6548
114	844	6499
115	854	6514
116	856	6465
117	858	6418
118	871	6451
119	878	6443
120	880	6397
121	882	6352
122	890	6346
123	891	6300
124	893	6256
125	895	6214
126	898	6177
127	902	6149
128	913	6164
129	915	6123
130	917	6083
131	918	6042
132	925	6031
133	932	6025
134	934	5989
135	937	5955
136	942	5939
137	944	5898
138	947	5867
139	949	5830
140	950	5793
141	952	5758
142	954	5717
143	959	5701
144	969	5714
145	970	5679
146	976	5663
147	979	5640
148	981	5608
149	983	5575
150	991	5572
151	992	5534
152	993	5502
153	995	5470
154	997	5438
155	1002	5422
156	1004	5394
157	1006	5364
158	1008	5335
159	1016	5335
160	1018	5306
161	1024	5299
162	1026	5271
163	1035	5280
164	1043	5278
165	1044	5249
166	1050	5239
167	1053	5218
168	1055	5190
169	1058	5168
170	1060	5140
171	1062	5112
172	1063	5085
173	1067	5065
174	1069	5041
175	1071	5015
176	1074	4995
177	1077	4977
178	1087	4988
179	1089	4963
180	1091	4938
181	1093	4913
182	1095	4889
183	1099	4876
184	1101	4851
185	1104	4835
186	1106	4812
187	1111	4802
188	1114	4780
189	1116	4758
190	1118	4736
191	1126	4739
192	1133	4740
193	1136	4720
194	1138	4700
195	1141	4681
196	1143	4661
197	1146	4642
198	1148	4623
199	1150	4603
200	1154	4589
201	1163	4596
202	1166	4581
203	1171	4571
204	1179	4573
205	1184	4565
206	1187	4547
207	1189	4528
208	1191	4509
209	1193	4491
210	1196	4475
211	1198	4456
212	1201	4438
213	1203	4421
214	1206	4405
215	1208	4386
216	1211	4370
217	1213	4352
218	1215	4335
219	1217	4318
220	1220	4300
221	1222	4282
222	1224	4266
223	1226	4250
224	1229	4235
225	1231	4217
226	1233	4199
227	1235	4182
228	1238	4168
229	1240	4151
230	1242	4136
231	1244	4120
232	1247	4106
233	1249	4090
234	1252	4076
235	1254	4059
236	1255	4043
237	1258	4027
238	1260	4012
239	1261	3996
240	1263	3980
241	1265	3964
242	1267	3948
243	1269	3934
244	1272	3920
245	1274	3905
246	1276	3890
247	1278	3876
248	1280	3862
249	1282	3848
250	1285	3835
251	1287	3820
252	1289	3806
253	1291	3793
254	1293	3780
255	1296	3766
256	1299	3755
257	1301	3742
258	1303	3729
259	1306	3719
260	1308	3705
261	1310	3691
262	1312	3677
263	1314	3664
264	1316	3651
265	1318	3637
266	1320	3624
267	1322	3612
268	1324	3598
269	1326	3586
270	1328	3573
271	1330	3560
272	1332	3548
273	1334	3535
274	1336	3522
275	1338	3510
276	1340	3498
277	1342	3486
278	1345	3475
279	1347	3464
280	1349	3452
281	1351	3441
282	1353	3430
283	1357	3422
284	1360	3413
285	1362	3402
286	1366	3393
287	1369	3386
288	1371	3375
289	1374	3364
290	1377	3355
291	1380	3347
292	1384	3341
293	1388	3333
294	1391	3324
295	1394	3316
296	1396	3306
297	1400	3298
298	1403	3291
299	1406	3282
300	1409	3273
301	1411	3263
302	1413	3252
303	1417	3244
304	1420	3236
305	1423	3228
306	1428	3224
307	1431	3215
308	1433	3206
309	1436	3196
310	1438	3186
311	1440	3177
312	1442	3166
313	1444	3156
314	1446	3146
315	1448	3136
316	1450	3126
317	1453	3116
318	1455	3107
319	1457	3098
320	1460	3088
321	1462	3078
322	1464	3069
323	1466	3060
324	1469	3051
325	1471	3041
326	1473	3032
327	1475	3022
328	1477	3012
329	1479	3003
330	1481	2994
331	1483	2984
332	1485	2976
333	1487	2966
334	1490	2958
335	1492	2949
336	1494	2940
337	1496	2931
338	1499	2922
339	1501	2913
340	1503	2904
341	1505	2895
342	1507	2886
343	1509	2878
344	1511	2869
345	1513	2860
346	1515	2851
347	1517	2842
348	1519	2833
349	1521	2824
350	1523	2816
351	1525	2807
352	1527	2799
353	1529	2791
354	1531	2782
355	1533	2774
356	1535	2765
357	1537	2756
358	1539	2748
359	1541	2740
360	1543	2732
361	1545	2724
362	1548	2716
363	1550	2708
364	1552	2700
365	1554	2692
366	1556	2684
367	1558	2677
368	1560	2669
369	1562	2661
370	1565	2653
371	1567	2645
372	1568	2637
373	1571	2629
374	1573	2622
375	1575	2614
376	1577	2606
377	1579	2599
378	1581	2591
379	1584	2584
380	1586	2577
381	1588	2569
382	1590	2562
383	1592	2554
384	1594	2547
385	1596	2539
386	1598	2532
387	1600	2524
388	1602	2517
389	1604	2509
390	1606	2502
391	1608	2495
392	1610	2488
393	1613	2480
394	1615	2473
